n_subintervalos,python_puro_s_por_llamada,pybind11_s_por_llamada,speedup
10,1.224090000064848e-06,2.0811999995373754e-07,5.881654816149086
100,9.910890000028872e-06,1.1991300000602222e-06,8.265067173309925
1000,9.583641999995507e-05,1.1058739999967315e-05,8.666124712240121
10000,0.0009884924300000363,0.00010774361999999372,9.174486897693747
100000,0.010467358954999995,0.001170000935000033,8.946453495782634
