size,n_calls,python_puro_s,pybind11_grano_fino_s,pybind11_grano_grueso_s,numpy_vectorizado_s,speedup_grueso_vs_python,speedup_grueso_vs_fino
20x20,400,0.0008231190000032029,9.250700000507095e-05,2.437899999563342e-05,0.0006935570000052849,33.7634439538387,3.794536282113298
50x50,2500,0.004251882999994905,0.0004688939999937247,0.00013938899999743626,0.0015704049999953895,30.503719806248043,3.3639239825405802
100x100,10000,0.017223333000004004,0.0016651290000027075,0.0005521420000036414,0.004518996000001607,31.193665759696625,3.015762249551249
200x200,40000,0.06687742399999763,0.006910392000008869,0.0022525740000105543,0.019286729000000946,29.689334956225313,3.06777579781019
